srcID,destID,airlineID,Source Airport,Source Country,Dest Airport,Source Country,Airline Name,Airline Country,Distance (km)
2890,6079,16475,SJU,Puerto Rico,NEV,Saint Kitts and Nevis,TUR European Airways,Turkey,386
2895,2851,18944,AUA,Aruba,CCS,Venezuela,,Netherlands Antilles,391
2851,2895,18944,CCS,Venezuela,AUA,Aruba,,Netherlands Antilles,391
1665,1386,2297,GVA,Switzerland,ORY,France,EasyJet Airline,United Kingdom,395
1386,1665,2297,ORY,France,GVA,Switzerland,EasyJet Airline,United Kingdom,395
609,668,4319,CPH,Denmark,GDN,Poland,SAS Scandinavian Airlines,Sweden,395
668,609,4319,GDN,Poland,CPH,Denmark,SAS Scandinavian Airlines,Sweden,395
897,970,4305,DLA,Cameroon,LBV,Gabon,SAA South African Airways,South Africa,396
970,897,4305,LBV,Gabon,DLA,Cameroon,SAA South African Airways,South Africa,396
1538,1208,4869,BLQ,Italy,ZAG,Croatia,TAP Air Portugal,Portugal,398
1208,1538,4869,ZAG,Croatia,BLQ,Italy,TAP Air Portugal,Portugal,398
6795,3366,13335,COQ,Mongolia,HLD,China,Homer Sky,Germany,398
3366,6795,13335,HLD,China,COQ,Mongolia,Homer Sky,Germany,398
609,638,4319,CPH,Denmark,KRS,Norway,SAS Scandinavian Airlines,Sweden,399
638,609,4319,KRS,Norway,CPH,Denmark,SAS Scandinavian Airlines,Sweden,399
248,273,16960,ACC,Ghana,LOS,Nigeria,,Burma,401
273,248,16960,LOS,Nigeria,ACC,Ghana,,Burma,401
609,352,4319,CPH,Denmark,HAJ,Germany,SAS Scandinavian Airlines,Sweden,401
352,609,4319,HAJ,Germany,CPH,Denmark,SAS Scandinavian Airlines,Sweden,401
1005,907,2183,HRE,Zimbabwe,LUN,Zambia,Emirates Airlines,United Arab Emirates,403
907,1005,2183,LUN,Zambia,HRE,Zimbabwe,Emirates Airlines,United Arab Emirates,403
1005,907,4319,HRE,Zimbabwe,LUN,Zambia,SAS Scandinavian Airlines,Sweden,403
5810,2890,14849,AZS,Dominican Republic,SJU,Puerto Rico,,Italy,404
2890,5810,14849,SJU,Puerto Rico,AZS,Dominican Republic,,Italy,404
1059,1063,1531,FNA,Sierra Leone,ROB,Liberia,SN Brussels Airlines,Belgium,410
253,248,2183,ABJ,Cote d'Ivoire,ACC,Ghana,Emirates Airlines,United Arab Emirates,418
248,253,2183,ACC,Ghana,ABJ,Cote d'Ivoire,Emirates Airlines,United Arab Emirates,418
253,248,4305,ABJ,Cote d'Ivoire,ACC,Ghana,SAA South African Airways,South Africa,418
248,253,4305,ACC,Ghana,ABJ,Cote d'Ivoire,SAA South African Airways,South Africa,418
280,246,17094,NIM,Niger,OUA,Burkina Faso,,Senegal,420
246,280,17094,OUA,Burkina Faso,NIM,Niger,,Senegal,420
609,664,4319,CPH,Denmark,TRF,Norway,SAS Scandinavian Airlines,Sweden,422
664,609,4319,TRF,Norway,CPH,Denmark,SAS Scandinavian Airlines,Sweden,422
302,4053,2297,BRU,Belgium,BSL,Switzerland,EasyJet Airline,United Kingdom,429
4053,302,2297,BSL,Switzerland,BRU,Belgium,EasyJet Airline,United Kingdom,429
4053,1551,2297,BSL,Switzerland,VCE,Italy,EasyJet Airline,United Kingdom,435
1551,4053,2297,VCE,Italy,BSL,Switzerland,EasyJet Airline,United Kingdom,435
4053,1354,2297,BSL,Switzerland,NCE,France,EasyJet Airline,United Kingdom,438
1354,4053,2297,NCE,France,BSL,Switzerland,EasyJet Airline,United Kingdom,438
609,674,4319,CPH,Denmark,POZ,Poland,SAS Scandinavian Airlines,Sweden,448
674,609,4319,POZ,Poland,CPH,Denmark,SAS Scandinavian Airlines,Sweden,448
1354,1551,2297,NCE,France,VCE,Italy,EasyJet Airline,United Kingdom,456
1551,1354,2297,VCE,Italy,NCE,France,EasyJet Airline,United Kingdom,456
1555,1354,2297,FCO,Italy,NCE,France,EasyJet Airline,United Kingdom,460
1354,1555,2297,NCE,France,FCO,Italy,EasyJet Airline,United Kingdom,460
1754,1762,14849,PLS,Turks and Caicos Islands,SDQ,Dominican Republic,,Italy,460
1762,1754,14849,SDQ,Dominican Republic,PLS,Turks and Caicos Islands,,Italy,460
2877,2903,16475,DOM,Dominica,EIS,British Virgin Islands,TUR European Airways,Turkey,472
2903,2877,16475,EIS,British Virgin Islands,DOM,Dominica,TUR European Airways,Turkey,472
1665,1273,2297,GVA,Switzerland,TLS,France,EasyJet Airline,United Kingdom,473
1273,1665,2297,TLS,France,GVA,Switzerland,EasyJet Airline,United Kingdom,473
629,1524,2297,LUX,Luxembourg,MXP,Italy,EasyJet Airline,United Kingdom,483
1524,629,2297,MXP,Italy,LUX,Luxembourg,EasyJet Airline,United Kingdom,483
2057,2188,4089,BAH,Bahrain,DXB,United Arab Emirates,Qantas Airways,Australia,487
2188,2057,4089,DXB,United Arab Emirates,BAH,Bahrain,Qantas Airways,Australia,487
1321,1665,2297,BIA,France,GVA,Switzerland,EasyJet Airline,United Kingdom,490
1665,1321,2297,GVA,Switzerland,BIA,France,EasyJet Airline,United Kingdom,490
1665,1551,2297,GVA,Switzerland,VCE,Italy,EasyJet Airline,United Kingdom,490
1551,1665,2297,VCE,Italy,GVA,Switzerland,EasyJet Airline,United Kingdom,490
1218,1354,2297,BCN,Spain,NCE,France,EasyJet Airline,United Kingdom,496
